Հրապարակվել է,Թարմացվել է,Մարզ,Համայնք,Գին (֏),Գին ($),Տան մակերես (մ²),Հողատարածքի մակերես (մ²),մ² գին (֏),Հղում
16/09/2025,12/11/2025,Արարատ,Մասիս,458544000000,1200000000,5000,0,91708800.0,https://www.senyak.am/norakaruyc-artadramas-masisum-5000qm--wg8o
04/11/2025,,Երևան,Նուբարաշեն,57318000,150000,160,0,358237.0,https://www.senyak.am/artadramas-nubarashenum-160qm--wdjy
21/02/2025,28/10/2025,Երևան,Կենտրոն,191060000,500000,130,0,1469692.0,https://www.senyak.am/norakaruyc-arevtri-taratsq-kentronum-130qm--q51a
03/08/2025,30/10/2025,Երևան,Նոր Նորք,18341760,48000,70,0,262025.0,https://www.senyak.am/spasarkman-taratsq-nor-norqum-70qm--w4mx
10/07/2025,26/10/2025,Արմավիր,Արմավիր,210166000,550000,350,0,600474.0,https://www.senyak.am/arevtri-taratsq-armavirum-350qm--qluh
01/11/2025,,Երևան,Կենտրոն,224304440,587000,150,0,1495362.0,https://www.senyak.am/ofisayin-taratsq-kentronum-150qm--wdi1
21/12/2024,20/10/2025,Արմավիր,Տալվորիկ գյուղ,458544000,1200000,5880,0,77983.0,https://www.senyak.am/artadramas-5880qm--qmzj
29/09/2025,26/10/2025,Երևան,Կենտրոն,66871000,175000,71,0,941845.0,https://www.senyak.am/ofisayin-taratsq-kentronum-71qm--w6cw
28/01/2025,20/10/2025,Արագածոտն,Ագարակավան գյուղ,49675600,130000,283,0,175532.0,https://www.senyak.am/artadramas-283qm--qbwd
21/10/2025,,Երևան,Կենտրոն,103172400,270000,42,0,2456485.0,https://www.senyak.am/ofisayin-taratsq-kentronum-42qm--qrpy
30/10/2025,,Երևան,Կենտրոն,267484000,700000,100,0,2674840.0,https://www.senyak.am/ofisayin-taratsq-kentronum-100qm--wdgq
22/01/2025,07/10/2025,Երևան,Մալաթիա Սեբաստիա,101261800,265000,270,0,375043.0,https://www.senyak.am/komercion-taratsq-bangladeshum-270qm--qubt
08/09/2025,18/10/2025,Երևան,Արաբկիր,141384400,370000,200,0,706922.0,https://www.senyak.am/ofisayin-taratsq-arabkirum-200qm--wwnh
19/06/2025,22/10/2025,Երևան,Մալաթիա Սեբաստիա,103172400,270000,225,0,458544.0,https://www.senyak.am/komercion-taratsq-bangladeshum-225qm--q2xj
31/01/2025,22/10/2025,Երևան,Քանաքեռ Զեյթուն,106993600,280000,70,0,1528480.0,https://www.senyak.am/spasarkman-taratsq-zeytunum-70qm--qby6
17/09/2025,21/10/2025,Երևան,Քանաքեռ Զեյթուն,37065640,97000,58,0,639062.0,https://www.senyak.am/komercion-taratsq-zeytunum-58qm--wgo6
17/10/2025,,Երևան,Աջափնյակ,55407400,145000,54,0,1026062.0,https://www.senyak.am/arevtri-taratsq-ajapnyakum-54qm--wenm
14/10/2025,,Երևան,Շենգավիթ,24073560,63000,30,0,802452.0,https://www.senyak.am/shenq-shinutyun-3-rd-masum-30qm--webi
10/09/2025,21/10/2025,Երևան,Դավթաշեն,687816000,1800000,1200,0,573180.0,https://www.senyak.am/arevtri-taratsq-davtashenum-1200qm--wwl2
27/09/2025,15/10/2025,Երևան,Աջափնյակ,280000000,732754,1360,0,205882.0,https://www.senyak.am/artadramas-ajapnyakum-1360qm--w6dd
05/08/2025,17/10/2025,Երևան,Կենտրոն,37447760,98000,52,0,720149.0,https://www.senyak.am/komercion-taratsq-kentronum-52qm--w40j
22/10/2025,,Կոտայք,Չարենցավան,29805360,78000,43,0,693147.0,https://www.senyak.am/ofisayin-taratsq-charencavanum-43qm--w9f9
21/12/2024,06/10/2025,Երևան,Արաբկիր,305696000,800000,185,0,1652410.0,https://www.senyak.am/ofisayin-taratsq-arabkirum-185qm--qmz4
22/10/2025,,Երևան,Արաբկիր,171954000,450000,280,0,614121.0,https://www.senyak.am/ofisayin-taratsq-monumentum-280qm--w9cu
11/08/2025,29/09/2025,Երևան,Կենտրոն,324802000,850000,165,0,1968496.0,https://www.senyak.am/norakaruyc-ofisayin-taratsq-kentronum-165qm--wqei
23/01/2025,02/10/2025,Երևան,Քանաքեռ Զեյթուն,248378000,650000,181,0,1372254.0,https://www.senyak.am/ofisayin-taratsq-raykomum-181qm--qu51
24/09/2025,02/10/2025,Երևան,Արաբկիր,26748400,70000,42,0,636866.0,https://www.senyak.am/ofisayin-taratsq-raykomum-42qm--wgtz
03/04/2025,02/10/2025,Երևան,Կենտրոն,257931000,675000,240,0,1074712.0,https://www.senyak.am/norakaruyc-ofisayin-taratsq-kentronum-240qm--qpv0
16/09/2025,,Երևան,Կենտրոն,106993600,280000,112,0,955300.0,https://www.senyak.am/ofisayin-taratsq-kentronum-112qm--wg8i
16/07/2025,16/09/2025,Երևան,Կենտրոն,114636000,300000,120,0,955300.0,https://www.senyak.am/ofisayin-taratsq-kentronum-120qm--ql2y
24/12/2023,16/09/2025,Երևան,Կենտրոն,198702400,520000,113,0,1758428.0,https://www.senyak.am/ofisayin-taratsq-kentronum-113qm--a6l
14/06/2025,16/09/2025,Երևան,Կենտրոն,189149400,495000,105,0,1801422.0,https://www.senyak.am/ofisayin-taratsq-kentronum-105qm--q7lx
15/05/2024,16/09/2025,Երևան,Կենտրոն,99351200,260000,80,0,1241890.0,https://www.senyak.am/prodayu-ofis-80kv-m--tue
26/07/2025,16/09/2025,Երևան,Կենտրոն,87887600,230000,82,0,1071800.0,https://www.senyak.am/ofisayin-taratsq-kentronum-82qm--qlur
03/08/2025,16/09/2025,Երևան,Արաբկիր,43943800,115000,75,0,585917.0,https://www.senyak.am/ofisayin-taratsq-arabkirum-75qm--w4m3
08/03/2022,16/09/2025,Երևան,Կենտրոն,133742000,350000,96,0,1393145.0,https://www.senyak.am/ofisayin-taratsq-kentronum-96qm--gq2
28/08/2023,07/10/2025,Երևան,Կենտրոն,115000000,300952,165,0,696969.0,https://www.senyak.am/artadramas-kentronum-165qm--ulb
06/06/2023,16/09/2025,Երևան,Արաբկիր,89798200,235000,68,0,1320561.0,https://www.senyak.am/ofisayin-taratsq-arabkirum-68qm--z1x
18/01/2025,02/10/2025,Երևան,Կենտրոն,103172400,270000,112,0,921182.0,https://www.senyak.am/ofisayin-taratsq-kentronum-112qm--qu1w
04/11/2024,02/10/2025,Երևան,Արաբկիր,126099600,330000,127,0,992910.0,https://www.senyak.am/ofisayin-taratsq-arabkirum-127qm--qyfo
29/09/2025,,Արարատ,Մասիս,17195,44,32500,0,0.0,https://www.senyak.am/artadramas-masisum-32500qm--w6y6
16/09/2025,24/09/2025,Արարատ,Նարեկ գյուղ,95530000,250000,14000,0,6823.0,https://www.senyak.am/komercion-taratsq-14000qm--wgfx
06/03/2024,22/09/2025,Երևան,Արաբկիր,185328200,485000,250,0,741312.0,https://www.senyak.am/norakaruyc-ofisayin-taracq-arabkirum-250qm--k2l
11/10/2025,,Երևան,Կենտրոն,145205600,380000,280,0,518591.0,https://www.senyak.am/spasarkman-taratsq-kentronum-280qm--weyc
06/10/2025,,Երևան,Կենտրոն,300000,785,55,0,5454.0,https://www.senyak.am/arevtri-taratsq-kentronum-55qm--w674
04/11/2024,16/09/2025,Երևան,Կենտրոն,191060000,500000,150,0,1273733.0,https://www.senyak.am/ofisayin-taratsq-kentronum-150qm--qyi3
26/06/2025,26/09/2025,Երևան,Մալաթիա Սեբաստիա,49675600,130000,117,0,424577.0,https://www.senyak.am/komercion-taratsq-malatia-sebastiayum-117qm--q2sd
22/10/2024,22/09/2025,Երևան,Նոր Նորք,267484000,700000,1850,0,144585.0,https://www.senyak.am/spasarkman-taracq-nor-norqum-1850qm--q8v9
09/03/2025,22/09/2025,Երևան,Էրեբունի,23309320,61000,85,0,274227.0,https://www.senyak.am/spasarkman-taratsq-erebunium-85qm--q0a6
16/09/2024,22/09/2025,Երևան,Կենտրոն,47765000,125000,100,0,477650.0,https://www.senyak.am/pahest-kentronum-100qm--q1s9
09/05/2025,03/09/2025,Երևան,Էրեբունի,105083000,275000,103,0,1020223.0,https://www.senyak.am/arevtri-taratsq-areshum-103qm--qkqw
20/09/2025,25/09/2025,Երևան,Շենգավիթ,189149400,495000,150,0,1260996.0,https://www.senyak.am/arevtri-taratsq-hayreniqum-150qm--wgri
07/05/2024,03/09/2025,Երևան,Շենգավիթ,1337420000,3500000,3300,0,405278.0,https://www.senyak.am/spasarkman-taratsq-shengavitum-3300qm--lt6
04/07/2025,26/09/2025,Երևան,Աջափնյակ,59228600,155000,100,0,592286.0,https://www.senyak.am/komercion-taratsq-ajapnyakum-100qm--qlx6
08/02/2025,31/07/2025,Երևան,Աջափնյակ,496756000,1300000,550,0,903192.0,https://www.senyak.am/norakaruyc-arevtri-taratsq-15-kvartalum-550qm--q36w
06/05/2025,23/08/2025,Երևան,Քանաքեռ Զեյթուն,68781600,180000,92,0,747626.0,https://www.senyak.am/spasarkman-taratsq-raykomum-92qm--qvst
12/06/2023,03/08/2025,Երևան,Կենտրոն,40122600,105000,45,0,891613.0,https://www.senyak.am/arevtri-taratsq-kentronum-45qm--zm7
26/07/2023,16/07/2025,Երևան,Կենտրոն,191060000,500000,132,0,1447424.0,https://www.senyak.am/ofisayin-taratsq-kentronum-132qm--jzf
07/09/2025,,Տավուշ,Դիլիջան,420332000,1100000,4000,0,105083.0,https://www.senyak.am/komercion-taratsq-dilijanum-4000qm--wwvh
27/10/2024,16/09/2025,Երևան,Կենտրոն,181889120,476000,340,0,534968.0,https://www.senyak.am/ofisayin-taratsq-kentronum-340qm--qf1t
25/06/2025,21/07/2025,Երևան,Շենգավիթ,147116200,385000,160,0,919476.0,https://www.senyak.am/norakaruyc-arevtri-taratsq-3-rd-masum-160qm--q2rr
11/10/2024,23/08/2025,Երևան,Մալաթիա Սեբաստիա,76424000,200000,100,0,764240.0,https://www.senyak.am/komercion-taratsq-malatia-sebastiayum-100qm--qikq
18/06/2025,24/07/2025,Երևան,Արաբկիր,80245200,210000,117,0,685856.0,https://www.senyak.am/komercion-taratsq-komitasum-117qm--q2d7
03/12/2024,02/09/2025,Երևան,Արաբկիր,248378000,650000,220,0,1128990.0,https://www.senyak.am/komercion-taratsq-arabkirum-220qm--qovg
26/06/2024,16/07/2025,Երևան,Արաբկիր,80245200,210000,82,0,978600.0,https://www.senyak.am/ofisayin-taratsq-monumentum-82qm--qwal
13/09/2024,11/07/2025,Երևան,Կենտրոն,122278400,320000,138,0,886075.0,https://www.senyak.am/komercion-taratsq-malatia-sebastiayum-138qm--q13g
26/06/2025,11/08/2025,Երևան,Արաբկիր,64578280,169000,54,0,1195894.0,https://www.senyak.am/arevtri-taratsq-arabkirum-54qm--q2s8
02/02/2025,14/06/2025,Երևան,Արաբկիր,51586200,135000,103,0,500836.0,https://www.senyak.am/ofisayin-taratsq-arabkirum-103qm--qbjy
16/08/2025,,Արագածոտն,Աշտարակ,49675600,130000,1000,0,49675.0,https://www.senyak.am/komercion-taratsq-ashtarakum-1000qm--wqjh
26/06/2025,02/07/2025,Երևան,Շենգավիթ,27512640,72000,45,0,611392.0,https://www.senyak.am/ofisayin-taratsq-3-rd-masum-45qm--q2al
27/06/2025,02/07/2025,Երևան,Շենգավիթ,573180000,1500000,632,0,906930.0,https://www.senyak.am/norakaruyc-komercion-taratsq-charbaxum-632qm--q2vt
29/06/2025,25/07/2025,Արարատ,Վերին Արտաշատ գյուղ,38212,100,134,0,285.0,https://www.senyak.am/pahest-134qm--q22r
02/07/2025,11/08/2025,Երևան,Աջափնյակ,22162960,58000,38,0,583235.0,https://www.senyak.am/spasarkman-taratsq-15-kvartalum-38qm--qleb
22/02/2025,01/08/2025,Երևան,Աջափնյակ,21016600,55000,37,0,568016.0,https://www.senyak.am/spasarkman-taratsq-ajapnyakum-37qm--q58h
09/07/2025,,Կոտայք,Չարենցավան,33626560,88000,43,0,782013.0,https://www.senyak.am/shenq-shinutyun-charencavanum-43qm--qlju
03/04/2025,11/08/2025,Երևան,Աջափնյակ,38212000,100000,61,0,626426.0,https://www.senyak.am/komercion-taratsq-ajapnyakum-61qm--qpvb
23/05/2025,11/08/2025,Երևան,Կենտրոն,250000,654,30,0,8333.0,https://www.senyak.am/ofisayin-taratsq-kentronum-30qm--qndn
15/02/2025,14/06/2025,Երևան,Կենտրոն,63049800,165000,35,0,1801422.0,https://www.senyak.am/ofisayin-taratsq-kentronum-35qm--q33w
14/07/2022,14/06/2025,Երևան,Կենտրոն,68781600,180000,45,0,1528480.0,https://www.senyak.am/ofisayin-taratsq-kentronum-38qm--ea0
19/08/2025,,Երևան,Կենտրոն,57318000,150000,46,0,1246043.0,https://www.senyak.am/ofisayin-taratsq-kentronum-46qm--wqpy
12/07/2025,,Երևան,Կենտրոն,64960400,170000,65,0,999390.0,https://www.senyak.am/ofisayin-taratsq-kentronum-65qm--ql03
21/06/2025,19/07/2025,Երևան,Շենգավիթ,229272000,600000,150,0,1528480.0,https://www.senyak.am/arevtri-taratsq-hayreniqum-150qm--q2ct
05/04/2024,18/08/2025,Երևան,Շենգավիթ,80245200,210000,145,0,553415.0,https://www.senyak.am/komercion-taratsq-charbaxum-145qm--77t
17/07/2024,30/07/2025,Երևան,Շենգավիթ,45854400,120000,85,0,539463.0,https://www.senyak.am/ofisayin-taracq-3-rd-masum-85qm--q6hl
21/11/2024,07/05/2025,Երևան,Նոր Նորք,764240000,2000000,1300,0,587876.0,https://www.senyak.am/komercion-taratsq-nor-norqum-1300qm--qhm8
23/07/2025,,Տավուշ,Դիլիջան,59228600,155000,150,0,394857.0,https://www.senyak.am/spasarkman-taratsq-dilijanum-150qm--qtje
23/06/2025,,Երևան,Մալաթիա Սեբաստիա,31715960,83000,80,0,396449.0,https://www.senyak.am/norakaruyc-komercion-taratsq-malatia-sebastiayum-80qm--q2u9
09/07/2025,30/07/2025,Երևան,Մալաթիա Սեբաստիա,878876000,2300000,5800,0,151530.0,https://www.senyak.am/spasarkman-taratsq-malatia-sebastiayum-5800qm--qlux
14/05/2025,09/07/2025,Երևան,Արաբկիր,70692200,185000,200,0,353461.0,https://www.senyak.am/ofisayin-taratsq-arabkirum-200qm--qkyi
11/04/2025,09/07/2025,Երևան,Նոր Նորք,49675600,130000,110,0,451596.0,https://www.senyak.am/ofisayin-taratsq-1-in-masivum-110qm--qazr
31/05/2025,,Արարատ,Նորաբաց գյուղ,496756000,1300000,2000,0,248378.0,https://www.senyak.am/shenq-shinutyun-2000qm--qnv0
16/01/2025,22/08/2025,Երևան,Աջափնյակ,38976240,102000,62,0,628649.0,https://www.senyak.am/artadramas-ajapnyakum-62qm--qu47
19/05/2025,09/07/2025,Երևան,Կենտրոն,191060000,500000,240,0,796083.0,https://www.senyak.am/ofisayin-taratsq-kentronum-240qm--qkv9
19/05/2025,09/07/2025,Երևան,Կենտրոն,48911360,128000,40,0,1222784.0,https://www.senyak.am/ofisayin-taratsq-kentronum-40qm--qkvu
10/04/2025,,Երևան,Դավթաշեն,649604000,1700000,1850,0,351137.0,https://www.senyak.am/norakaruyc-komercion-taratsq-davtashenum-1850qm--qaod
15/01/2025,22/08/2025,Երևան,Աջափնյակ,57318000,150000,148,0,387283.0,https://www.senyak.am/arevtri-taratsq-ajapnyakum-148qm--qjl4
15/01/2025,22/08/2025,Երևան,Աջափնյակ,55407400,145000,92,0,602254.0,https://www.senyak.am/ofisayin-taratsq-shinararnerum-92qm--qjlq
19/05/2025,09/07/2025,Երևան,Կենտրոն,60374960,158000,45,0,1341665.0,https://www.senyak.am/ofisayin-taratsq-kentronum-45qm--qkvq
07/03/2025,13/05/2025,Երևան,Մալաթիա Սեբաստիա,1600000,4187,140,0,11428.0,https://www.senyak.am/arevtri-taratsq-bangladeshum-140qm--q08a
22/11/2024,14/05/2025,Երևան,Արաբկիր,1910600000,5000000,6000,0,318433.0,https://www.senyak.am/spasarkman-taratsq-qanaqerum-6000qm--qh0g
18/06/2025,,Երևան,Արաբկիր,129920800,340000,243,0,534653.0,https://www.senyak.am/ofisayin-taratsq-arabkirum-243qm--q2dn
26/05/2025,27/06/2025,Երևան,Նոր Նորք,55407400,145000,102,0,543209.0,https://www.senyak.am/ofisayin-taratsq-2-rd-masivum-102qm--qnyq
02/04/2025,09/07/2025,Երևան,Մալաթիա Սեբաստիա,9553000,25000,17,0,561941.0,https://www.senyak.am/ofisayin-taratsq-bangladeshum-17qm--qppa
04/02/2025,30/07/2025,Գեղարքունիք,Գավառ,19106000,50000,300,0,63686.0,https://www.senyak.am/arevtri-taratsq-gavarum-300qm--qbri
11/10/2024,22/05/2025,Երևան,Կենտրոն,147116200,385000,91,0,1616661.0,https://www.senyak.am/ofisayin-taratsq-kentronum-91qm--qivz
29/07/2025,,Երևան,Քանաքեռ Զեյթուն,10317240,27000,39,0,264544.0,https://www.senyak.am/komercion-taratsq-qanaqer-zeytunum-39qm--qt2p
21/03/2025,25/03/2025,Երևան,Աջափնյակ,87887600,230000,157,0,559793.0,https://www.senyak.am/arevtri-taratsq-ajapnyakum-157qm--qrsy
26/05/2025,09/07/2025,Երևան,Քանաքեռ Զեյթուն,12609960,33000,20,0,630498.0,https://www.senyak.am/ofisayin-taratsq-zeytunum-20qm--qnyd
15/05/2025,09/07/2025,Երևան,Արաբկիր,267484000,700000,350,0,764240.0,https://www.senyak.am/ofisayin-taratsq-arabkirum-350qm--qkzx
07/04/2025,20/04/2025,Երևան,Արաբկիր,1695000,4435,847,0,2001.0,https://www.senyak.am/norakaruyc-ofisayin-taratsq-komitasum-847qm--qaea
22/11/2024,07/05/2025,Կոտայք,Ջրվեժ գյուղ,324802000,850000,1100,0,295274.0,https://www.senyak.am/artadramas-jrvejum-1100qm--qh0e
27/11/2024,19/06/2025,Երևան,Մալաթիա Սեբաստիա,95530000,250000,125,0,764240.0,https://www.senyak.am/norakaruyc-ofisayin-taratsq-malatia-sebastiayum-125qm--qo1s
30/07/2025,,Երևան,Շենգավիթ,32098080,84000,32,0,1003065.0,https://www.senyak.am/arevtri-taratsq-shengavitum-32qm--w4ek
06/06/2025,,Երևան,Մալաթիա Սեբաստիա,38212,100,60,0,636.0,https://www.senyak.am/ofisayin-taratsq-malatia-sebastiayum-60qm--q7ij
25/06/2025,,Երևան,Նոր Նորք,87887600,230000,54,0,1627548.0,https://www.senyak.am/arevtri-taratsq-nor-norqum-54qm--q2r1
15/05/2025,09/07/2025,Երևան,Արաբկիր,87887600,230000,68,0,1292464.0,https://www.senyak.am/ofisayin-taratsq-arabkirum-68qm--qkok
15/05/2025,19/05/2025,Երևան,Մալաթիա Սեբաստիա,45472280,119000,76,0,598319.0,https://www.senyak.am/ofisayin-taratsq-bangladeshum-76qm--qkob
19/05/2025,09/07/2025,Երևան,Կենտրոն,68399480,179000,75,0,911993.0,https://www.senyak.am/ofisayin-taratsq-kentronum-75qm--qkvp
25/07/2024,22/05/2025,Երևան,Արաբկիր,49675600,130000,98,0,506893.0,https://www.senyak.am/ofisayin-taratsq-arabkirum-98qm--q6lk
09/05/2025,,Երևան,Քանաքեռ Զեյթուն,57318000,150000,90,0,636866.0,https://www.senyak.am/komercion-taratsq-zeytunum-90qm--qkgw
12/06/2025,,Լոռի,Վանաձոր,47765000,125000,90,0,530722.0,https://www.senyak.am/ofisayin-taratsq-vanadzorum-90qm--q7av
12/06/2025,,Երևան,Աջափնյակ,59610720,156000,117,0,509493.0,https://www.senyak.am/komercion-taratsq-ajapnyakum-117qm--q7aq
19/04/2025,,Լոռի,Վանաձոր,573180000,1500000,2900,0,197648.0,https://www.senyak.am/norakaruyc-artadramas-vanadzorum-2900qm--qsi9
24/02/2025,05/06/2025,Երևան,Արաբկիր,129920800,340000,180,0,721782.0,https://www.senyak.am/arevtri-taratsq-komitasum-180qm--q5op
07/03/2025,20/03/2025,Կոտայք,Ծաղկաձոր,1146360000,3000000,15000,0,76424.0,https://www.senyak.am/spasarkman-taratsq-tsaxkadzorum-15000qm--q05t
25/06/2025,,Երևան,Արաբկիր,64960400,170000,89,0,729892.0,https://www.senyak.am/ofisayin-taratsq-arabkirum-89qm--q2p1
13/03/2025,18/03/2025,Երևան,Շենգավիթ,917088000,2400000,3600,0,254746.0,https://www.senyak.am/komercion-taratsq-hayreniqum-3600qm--qrwf
26/04/2024,22/05/2025,Արմավիր,Արևիկ գյուղ,57318000,150000,2500,0,22927.0,https://www.senyak.am/artadramas-2500qm--l1u
10/10/2024,13/05/2025,Երևան,Կենտրոն,57318000,150000,64,0,895593.0,https://www.senyak.am/komercion-taratsq-kentronum-64qm--qirs
19/05/2025,,Երևան,Կենտրոն,41268960,108000,60,0,687816.0,https://www.senyak.am/ofisayin-taratsq-kentronum-60qm--qksa
11/03/2025,,Երևան,Կենտրոն,496756000,1300000,750,0,662341.0,https://www.senyak.am/spasarkman-taratsq-kentronum-750qm--q02z
17/04/2025,,Երևան,Կենտրոն,80245200,210000,75,0,1069936.0,https://www.senyak.am/ofisayin-taratsq-kentronum-75qm--qs6g
19/05/2025,,Երևան,Կենտրոն,91326680,239000,62,0,1473010.0,https://www.senyak.am/ofisayin-taratsq-kentronum-62qm--qkv3
30/04/2025,,Երևան,Արաբկիր,63049800,165000,62,0,1016932.0,https://www.senyak.am/ofisayin-taratsq-arabkirum-62qm--qvx4
30/04/2025,06/05/2025,Երևան,Արաբկիր,58464360,153000,70,0,835205.0,https://www.senyak.am/ofisayin-taratsq-arabkirum-70qm--qv13
30/04/2025,06/05/2025,Երևան,Արաբկիր,58464360,153000,45,0,1299208.0,https://www.senyak.am/ofisayin-taratsq-arabkirum-45qm--qvxi
22/04/2025,12/05/2025,Երևան,Նոր Նորք,128621592,336600,300,0,428738.0,https://www.senyak.am/ofisayin-taratsq-nor-norqum-300qm--qshu
30/04/2025,12/05/2025,Երևան,Մալաթիա Սեբաստիա,51586200,135000,100,0,515862.0,https://www.senyak.am/ofisayin-taratsq-bangladeshum-100qm--qv19
26/05/2025,,Երևան,Նոր Նորք,74513400,195000,80,0,931417.0,https://www.senyak.am/ofisayin-taratsq-1-in-masivum-80qm--qnyg
19/05/2025,,Երևան,Շենգավիթ,33244440,87000,44,0,755555.0,https://www.senyak.am/ofisayin-taratsq-3-rd-masum-44qm--qkv4
19/05/2025,,Երևան,Կենտրոն,51433352,134600,40,0,1285833.0,https://www.senyak.am/ofisayin-taratsq-kentronum-40qm--qksk
30/04/2025,06/05/2025,Երևան,Արաբկիր,25984160,68000,48,0,541336.0,https://www.senyak.am/ofisayin-taratsq-komitasum-48qm--qv1f
25/03/2025,,Լոռի,Լերմոնտովո գյուղ,34008680,89000,5680,0,5987.0,https://www.senyak.am/arevtri-taratsq-5680qm--qpgb
22/04/2025,,Երևան,Նոր Նորք,59228600,155000,130,0,455604.0,https://www.senyak.am/ofisayin-taratsq-1-in-masivum-130qm--qsoi
17/04/2025,,Տավուշ,Իջևան,248378000,650000,1000,0,248378.0,https://www.senyak.am/komercion-taratsq-ijevanum-1000qm--qsg9
22/04/2025,,Երևան,Ավան,37447760,98000,96,0,390080.0,https://www.senyak.am/arevtri-taratsq-avanum-96qm--qso6
12/04/2025,,Երևան,Կենտրոն,4967560,13000,1103,0,4503.0,https://www.senyak.am/norakaruyc-komercion-taratsq-rasiayum-1103qm--qauq
14/05/2025,,Երևան,Արաբկիր,97440600,255000,80,0,1218007.0,https://www.senyak.am/arevtri-taratsq-qanaqerum-80qm--qky6
