Հրապարակվել է,Թարմացվել է,Մարզ,Համայնք,Գին (֏),Գին ($),Տան մակերես (մ²),Հողատարածքի մակերես (մ²),մ² գին (֏),Սենյակներ,Հարկ,Տեսակ,Հղում
2025-10-16,2025-11-16,Երևան,Արաբկիր,75440000,197424,92,0,820000,3,"=""5/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-arabkirum--wesf
2025-10-16,2025-11-16,Երևան,Էրեբունի,35919280,94000,60,0,598654,3,"=""6/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-erebuni-masivum--wesg
2025-06-30,2025-11-16,Երևան,Նոր Նորք,21207660,55500,37,0,573180,1,"=""4/5""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-1-in-masivum--ql4q
2025-09-24,2025-11-16,Երևան,Արաբկիր,35537160,93000,56,0,634592,2,"=""3/4""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-arabkirum--w64e
2025-10-27,2025-11-16,Երևան,Կենտրոն,68781600,180000,74,0,929481,3,"=""4/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-kentronum--w9k8
2025-10-11,2025-11-16,Երևան,Շենգավիթ,27512640,72000,64,0,429885,3,"=""4/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-shengavitum--wefy
2025-11-11,2025-11-16,Երևան,Արաբկիր,33244440,87000,45,0,738765,1,"=""3/5""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-arabkirum--w1y0
2025-10-05,2025-11-16,Երևան,Նոր Նորք,24837800,65000,51,0,487015,2,"=""1/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-nor-norqum--w6km
2025-09-29,2025-11-16,Երևան,Արաբկիր,43943800,115000,75,0,585917,3,"=""7/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-arabkirum--w6cs
2025-04-16,2025-11-16,Երևան,Մալաթիա Սեբաստիա,26748400,70000,53,0,504686,1,"=""9/9""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-vanadzorum--qa2l
2025-10-16,2025-11-16,Երևան,Արաբկիր,72250000,189076,85,0,850000,3,"=""4/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-arabkirum--wesh
2025-10-16,2025-11-16,Երևան,Արաբկիր,39000000,102062,45,0,866666,2,"=""4/9""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-arabkirum--wesz
2025-02-15,2025-11-16,Երևան,Արաբկիր,47765000,125000,60,0,796083,2,"=""2/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-arabkirum--q33b
2025-07-31,2025-11-16,Երևան,Մալաթիա Սեբաստիա,32480200,85000,77,0,421820,3,"=""1/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-malatia-sebastiayum--w41t
2025-06-16,2025-11-16,Երևան,Քանաքեռ Զեյթուն,30951720,81000,81,0,382120,3,"=""1/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-zeytunum--q2w6
2025-10-30,2025-11-16,Երևան,Աջափնյակ,28659000,75000,50,0,573180,2,"=""9/14""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-ajapnyakum--wdwk
2025-10-31,2025-11-16,Երևան,Դավթաշեն,40122600,105000,50,0,802452,2,"=""5/9""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-davtashenum--wd9i
2025-07-10,2025-11-16,Երևան,Կենտրոն,28659000,75000,57,0,502789,2,"=""4/4""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-kentronum--qlbm
2025-10-16,2025-11-16,Երևան,Արաբկիր,72200000,188945,85,0,849411,3,"=""4/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-arabkirum--wesu
2025-10-16,2025-11-16,Երևան,Արաբկիր,136000000,355909,160,0,850000,3,"=""6/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-arabkirum--wesj
2025-10-16,2025-11-16,Երևան,Արաբկիր,72250000,189076,85,0,850000,3,"=""6/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-arabkirum--wesc
2024-10-14,2025-11-16,Երևան,Նոր Նորք,37447760,98000,64,0,585121,3,"=""10/12""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-1-in-masivum--qi21
2025-11-03,2025-11-16,Երևան,Արաբկիր,32862320,86000,47,0,699198,1,"=""9/12""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-arabkirum--wdzy
2025-10-14,2025-11-16,Երևան,Նոր Նորք,32480200,85000,65,0,499695,2,"=""5/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-5-rd-masivum--webe
2025-10-15,2025-11-16,Երևան,Արաբկիր,43943800,115000,47,0,934974,2,"=""1/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-komitasum--wery
2025-05-13,2025-11-16,Երևան,Կենտրոն,46618640,122000,51,0,914090,3,"=""15/16""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-kentronum--qki7
2025-09-22,2025-11-16,Երևան,Արաբկիր,31715960,83000,47,0,674807,1,"=""3/5""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-komitasum--wgs5
2025-02-10,2025-11-16,Երևան,Նոր Նորք,20252360,53000,33,0,613707,1,"=""4/4""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-1-in-masivum--q3dg
2025-11-03,2025-11-16,Երևան,Նոր Նորք,24264620,63500,50,0,485292,1,"=""1/9""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-7-rd-masivum--wdop
2025-06-16,2025-11-16,Երևան,Նոր Նորք,24837800,65000,51,0,487015,2,"=""3/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-4-rd-masivum--q2qo
2025-11-02,2025-11-16,Երևան,Ավան,31907020,83500,67,0,476224,2,"=""8/9""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-avanum--wdc9
2024-04-22,2025-11-16,Երևան,Քանաքեռ Զեյթուն,45854400,120000,94,0,487812,3,"=""1/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-monumentum--275
2024-12-25,2025-11-16,Երևան,Նոր Նորք,27512640,72000,63,0,436708,3,"=""1/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-8-rd-masivum--qmad
2025-10-04,2025-11-15,Երևան,Կենտրոն,267484000,700000,219,0,1221388,4,"=""9/16""",Բնակարան,https://www.senyak.am/4-senyakanoc-norakaruyc-bnakarani-vacharq-kentronum--w6sf
2024-10-24,2025-11-16,Երևան,Կենտրոն,42033200,110000,42,0,1000790,2,"=""7/11""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-kentronum--q824
2025-02-01,2025-11-15,Երևան,Կենտրոն,143295000,375000,120,0,1194125,3,"=""5/14""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-kentronum--qbo2
2024-08-27,2025-11-16,Երևան,Աջափնյակ,43943800,115000,100,0,439438,4,"=""1/5""",Բնակարան,https://www.senyak.am/4-senyakanoc-bnakarani-vacharq-ajapnyakum--qd8z
2024-08-21,2025-11-16,Երևան,Աջափնյակ,29423240,77000,76,0,387147,3,"=""1/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-ajapnyakum--q9ks
2024-07-24,2025-11-16,Երևան,Աջափնյակ,42033200,110000,98,0,428910,4,"=""1/5""",Բնակարան,https://www.senyak.am/4-senyakanoc-bnakarani-vacharq-ajapnyakum--q6ks
2024-05-04,2025-11-16,Երևան,Նոր Նորք,34390800,90000,81,0,424577,3,"=""4/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-nor-norqum--lpo
2025-10-17,2025-11-15,Երևան,Արաբկիր,59228600,155000,100,0,592286,3,"=""4/16""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-arabkirum--wenh
2025-03-17,2025-11-15,Երևան,Արաբկիր,55407400,145000,78,0,710351,3,"=""2/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-arabkirum--qrca
2025-05-03,2025-11-16,Երևան,Աջափնյակ,28659000,75000,67,0,427746,2,"=""12/16""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-ajapnyakum--qvb1
2025-09-13,2025-11-16,Երևան,Աջափնյակ,43943800,115000,121,0,363171,4,"=""4/14""",Բնակարան,https://www.senyak.am/4-senyakanoc-bnakarani-vacharq-ajapnyakum--wgez
2025-04-17,2025-11-16,Երևան,Աջափնյակ,42033200,110000,76,0,553068,3,"=""4/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-ajapnyakum--qs60
2025-10-17,2025-11-16,Երևան,Աջափնյակ,32098080,84000,67,0,479075,2,"=""4/9""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-ajapnyakum--we79
2025-10-09,2025-11-15,Երևան,Կենտրոն,38976240,102000,45,0,866138,1,"=""3/4""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-kentronum--wexi
2024-08-27,2025-11-16,Երևան,Աջափնյակ,26748400,70000,90,0,297204,3,"=""1/16""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-ajapnyakum--qd8h
2025-11-15,NA,Երևան,Նոր Նորք,34390800,90000,78,0,440907,3,"=""9/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-nor-norqum--w1p9
2025-10-15,2025-11-15,Երևան,Արաբկիր,59228600,155000,96,0,616964,4,"=""2/5""",Բնակարան,https://www.senyak.am/4-senyakanoc-bnakarani-vacharq-arabkirum--wero
2025-04-02,2025-11-15,Երևան,Մալաթիա Սեբաստիա,36301400,95000,68,0,533844,2,"=""6/9""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-bangladeshum--qppt
2024-10-15,2025-11-15,Երևան,Մալաթիա Սեբաստիա,72602800,190000,100,0,726028,3,"=""11/17""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-kentronum--q8qx
2025-11-11,2025-11-15,Երևան,Աջափնյակ,35155040,92000,67,0,524702,2,"=""4/9""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-shinararnerum--w1fp
2025-08-04,2025-11-15,Երևան,Դավթաշեն,110814800,290000,152,0,729044,5,"=""2/12""",Բնակարան,https://www.senyak.am/5-senyakanoc-norakaruyc-bnakarani-vacharq-davtashenum--w4bm
2025-09-25,2025-11-15,Երևան,Շենգավիթ,21398720,56000,31,0,690281,2,"=""6/7""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-shengavitum--w64t
2025-09-23,2025-11-15,Երևան,Արաբկիր,133742000,350000,112,0,1194125,3,"=""12/19""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-arabkirum--wg7t
2025-11-15,NA,Երևան,Արաբկիր,51586200,135000,73,0,706660,3,"=""5/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-arabkirum--w1pc
2025-11-11,2025-11-15,Երևան,Կենտրոն,56553760,148000,47,0,1203271,2,"=""2/11""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-kentronum--w1fk
2025-10-15,2025-11-15,Երևան,Արաբկիր,59228600,155000,96,0,616964,4,"=""2/5""",Բնակարան,https://www.senyak.am/4-senyakanoc-bnakarani-vacharq-arabkirum--we0l
2025-02-13,2025-11-15,Երևան,Արաբկիր,85977000,225000,112,0,767651,3,"=""8/20""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-komitasum--q3oi
2025-11-15,NA,Երևան,Կենտրոն,72984920,191000,70,0,1042641,2,"=""3/3""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-kentronum--w10c
2024-08-21,2025-11-16,Երևան,Աջափնյակ,25602040,67000,51,0,502000,1,"=""3/16""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-ajapnyakum--q9kk
2024-06-04,2025-11-15,Երևան,Դավթաշեն,63049800,165000,120,0,525415,4,"=""9/11""",Բնակարան,https://www.senyak.am/4-senyakanoc-norakaruyc-bnakarani-vacharq-davtashenum--q4nv
2025-11-06,2025-11-15,Երևան,Կենտրոն,85977000,225000,64,0,1343390,2,"=""4/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-kentronum--wd2e
2025-09-22,2025-11-15,Երևան,Քանաքեռ Զեյթուն,34390800,90000,75,0,458544,3,"=""2/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-qanaqerum--wgsy
2025-09-22,2025-11-15,Երևան,Կենտրոն,68781600,180000,40,0,1719540,2,"=""5/14""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-kentronum--wgv8
2025-05-03,2025-11-16,Երևան,Քանաքեռ Զեյթուն,36301400,95000,122,0,297552,3,"=""5/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-zeytunum--qvur
2025-10-04,2025-11-16,Երևան,Կենտրոն,102790280,269000,92,0,1117285,3,"=""4/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-kentronum--w6sy
2025-09-20,2025-11-15,Երևան,Մալաթիա Սեբաստիա,38976240,102000,83,0,469593,4,"=""11/14""",Բնակարան,https://www.senyak.am/4-senyakanoc-bnakarani-vacharq-bangladeshum--wgrn
2025-11-15,NA,Երևան,Ավան,30569600,80000,58,0,527062,2,"=""16/18""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-avanum--w1ph
2025-06-05,2025-11-15,Երևան,Մալաթիա Սեբաստիա,50821960,133000,90,0,564688,4,"=""5/9""",Բնակարան,https://www.senyak.am/4-senyakanoc-bnakarani-vacharq-bangladeshum--q79z
2025-09-20,2025-11-15,Երևան,Քանաքեռ Զեյթուն,36301400,95000,63,0,576212,3,"=""3/16""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-zeytunum--wgrp
2024-11-01,2025-11-15,Երևան,Նոր Նորք,33244440,87000,79,0,420815,3,"=""2/4""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-1-in-masivum--qf7d
2024-11-14,2025-11-15,Երևան,Նոր Նորք,31715960,83000,53,0,598414,2,"=""2/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-2-rd-masivum--qcue
2025-11-15,NA,Երևան,Շենգավիթ,32480200,85000,63,0,515558,3,"=""2/4""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-3-rd-masum--w102
2025-09-22,2025-11-15,Երևան,Կենտրոն,89798200,235000,62,0,1448358,2,"=""8/22""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-kentronum--wgve
2025-08-12,2025-11-15,Երևան,Քանաքեռ Զեյթուն,28467940,74500,48,0,593082,2,"=""4/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-zeytunum--wqxv
2025-10-13,2025-11-15,Երևան,Քանաքեռ Զեյթուն,31715960,83000,39,0,813229,1,"=""3/5""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-raykomum--wejv
2025-11-15,NA,Երևան,Նոր Նորք,32480200,85000,67,0,484779,3,"=""5/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-2-rd-masivum--w1po
2024-11-18,2025-11-15,Երևան,Մալաթիա Սեբաստիա,31333840,82000,76,0,412287,3,"=""4/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-bangladeshum--qh6q
2025-09-13,2025-11-15,Երևան,Նոր Նորք,35155040,92000,64,0,549297,2,"=""7/12""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-1-in-masivum--wgeb
2025-11-15,NA,Երևան,Քանաքեռ Զեյթուն,25602040,67000,48,0,533375,2,"=""5/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-zeytunum--w1r4
2024-12-27,2025-11-15,Երևան,Կենտրոն,85977000,225000,83,0,1035867,3,"=""8/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-kentronum--qmtd
2025-10-22,2025-11-16,Երևան,Նոր Նորք,47765000,125000,88,0,542784,3,"=""10/12""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-1-in-masivum--w9cc
2025-01-24,2025-11-15,Երևան,Մալաթիա Սեբաստիա,47000760,123000,60,0,783346,2,"=""5/17""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-malatia-sebastiayum--qua0
2025-11-15,NA,Երևան,Կենտրոն,95530000,250000,64,0,1492656,2,"=""3/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-kentronum--w1rk
2025-11-15,NA,Երևան,Արաբկիր,59228600,155000,92,0,643789,3,"=""2/8""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-arabkirum--w15l
2025-11-15,NA,Երևան,Արաբկիր,29232180,76500,33,0,885823,1,"=""5/5""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-arabkirum--w1pg
2025-02-24,2025-11-15,Երևան,Կենտրոն,45854400,120000,64,0,716475,3,"=""5/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-kentronum--q5hp
2025-10-21,2025-11-15,Երևան,Արաբկիր,42797440,112000,59,0,725380,2,"=""4/16""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-arabkirum--w9e9
2025-11-15,NA,Երևան,Մալաթիա Սեբաստիա,71838560,188000,99,0,725642,3,"=""5/17""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-malatia-sebastiayum--w1r5
2025-11-15,NA,Երևան,Արաբկիր,47765000,125000,58,0,823534,5,"=""5/5""",Բնակարան,https://www.senyak.am/5-senyakanoc-bnakarani-vacharq-arabkirum--w10t
2025-11-10,2025-11-15,Երևան,Քանաքեռ Զեյթուն,27894760,73000,49,0,569280,2,"=""4/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-zeytunum--w1iy
2025-11-15,NA,Երևան,Նոր Նորք,31333840,82000,64,0,489591,3,"=""5/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-2-rd-masivum--w1pz
2025-11-15,NA,Երևան,Նոր Նորք,32862320,86000,64,0,513473,3,"=""5/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-3-rd-masivum--w1rf
2025-11-11,2025-11-15,Երևան,Շենգավիթ,30569600,80000,66,0,463175,2,"=""1/9""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-3-rd-masum--w1fs
2025-10-09,2025-11-15,Երևան,Քանաքեռ Զեյթուն,28276880,74000,48,0,589101,2,"=""4/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-zeytunum--wex6
2025-08-14,2025-11-15,Երևան,Մալաթիա Սեբաստիա,30569600,80000,65,0,470301,2,"=""5/9""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-bangladeshum--wqc7
2025-08-22,2025-11-15,Երևան,Շենգավիթ,25028860,65500,43,0,582066,1,"=""8/9""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-3-rd-masum--wq7a
2025-08-01,2025-11-15,Երևան,Մալաթիա Սեբաստիա,25793100,67500,55,0,468965,1,"=""3/9""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-bangladeshum--w4fg
2025-11-15,NA,Երևան,Մալաթիա Սեբաստիա,49000000,128231,72,0,680555,3,"=""8/16""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-leningradyanum--w1rr
2025-10-11,2025-11-15,Երևան,Նոր Նորք,24455680,64000,47,0,520333,1,"=""4/5""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-2-rd-masivum--we85
2025-10-25,2025-11-15,Երևան,Նոր Նորք,27130520,71000,74,0,366628,3,"=""1/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-8-rd-masivum--w90v
2025-11-15,NA,Երևան,Նոր Նորք,24837800,65000,39,0,636866,2,"=""3/9""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-2-rd-masivum--w101
2025-11-15,NA,Երևան,Արաբկիր,45090160,118000,65,0,693694,2,"=""4/6""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-arabkirum--w1r3
2025-11-15,NA,Երևան,Արաբկիր,49675600,130000,55,0,903192,3,"=""5/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-arabkirum--w10k
2025-11-15,NA,Երևան,Կենտրոն,97440600,255000,70,0,1392008,3,"=""4/4""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-kentronum--w10z
2025-05-31,2025-11-15,Երևան,Մալաթիա Սեբաստիա,36301400,95000,97,0,374241,3,"=""7/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-malatiayum--qnk3
2025-10-16,2025-11-15,Երևան,Աջափնյակ,45090160,118000,106,0,425378,5,"=""4/5""",Բնակարան,https://www.senyak.am/5-senyakanoc-bnakarani-vacharq-ajapnyakum--weau
2025-10-16,2025-11-15,Երևան,Մալաթիա Սեբաստիա,34390800,90000,78,0,440907,3,"=""4/4""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-bangladeshum--weax
2025-09-20,2025-11-15,Երևան,Քանաքեռ Զեյթուն,89000000,232911,144,0,618055,4,"=""10/15""",Բնակարան,https://www.senyak.am/4-senyakanoc-norakaruyc-bnakarani-vacharq-zeytunum--wgrk
2025-10-16,2025-11-15,Երևան,Նոր Նորք,41651080,109000,55,0,757292,2,"=""10/11""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-2-rd-masivum--weag
