Հրապարակվել է,Թարմացվել է,Մարզ,Համայնք,Գին (֏),Գին ($),Տան մակերես (մ²),Հողատարածքի մակերես (մ²),մ² գին (֏),Սենյակներ,Հարկ,Տեսակ,Հղում
10/11/2025,16/11/2025,Երևան,Նոր Նորք,29805360,78000,62,0,480731.0,2,"=""10/12""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-nor-norqum--w1dn
16/11/2025,,Երևան,Մալաթիա Սեբաստիա,80245200,210000,100,0,802452.0,3,"=""17/17""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-malatia-sebastiayum--w1s9
16/11/2025,,Երևան,Կենտրոն,66871000,175000,91,0,734846.0,3,"=""2/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-kentronum--w1s6
16/11/2025,,Երևան,Դավթաշեն,61139200,160000,110,0,555810.0,3,"=""12/18""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-davtashenum--w1sg
16/11/2025,,Երևան,Դավթաշեն,70692200,185000,110,0,642656.0,3,"=""14/18""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-davtashenum--w1sw
20/10/2025,16/11/2025,Երևան,Կենտրոն,136416840,357000,135,0,1010495.0,4,"=""3/5""",Բնակարան,https://www.senyak.am/4-senyakanoc-bnakarani-vacharq-kentronum--we2f
16/11/2025,,Երևան,Դավթաշեն,45854400,120000,109,0,420682.0,4,"=""1/4""",Բնակարան,https://www.senyak.am/4-senyakanoc-bnakarani-vacharq-davtashenum--w1al
10/10/2024,16/11/2025,Երևան,Արաբկիր,63049800,165000,88,0,716475.0,3,"=""4/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-arabkirum--qi5p
26/08/2024,16/11/2025,Երևան,Էրեբունի,73000,191,60,0,1216.0,2,"=""2/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-erebunium--qdg3
30/01/2025,16/11/2025,Երևան,Մալաթիա Սեբաստիա,պայմանական,negotiable,100,0,,3,"=""5/19""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-malatia-sebastiayum--qb1l
01/09/2025,16/11/2025,Երևան,Մալաթիա Սեբաստիա,30187480,79000,72,0,419270.0,3,"=""9/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-bangladeshum--wwjp
20/03/2025,16/11/2025,Երևան,Արաբկիր,56553760,148000,78,0,725048.0,3,"=""3/4""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-komitasum--qr0u
27/09/2025,16/11/2025,Երևան,Քանաքեռ Զեյթուն,38976240,102000,78,0,499695.0,3,"=""3/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-zeytunum--w614
03/07/2025,16/11/2025,Երևան,Արաբկիր,56553760,148000,78,0,725048.0,3,"=""3/4""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-komitasum--ql11
16/10/2025,16/11/2025,Երևան,Արաբկիր,72250000,189076,85,0,850000.0,3,"=""4/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-arabkirum--wesx
16/10/2025,16/11/2025,Երևան,Արաբկիր,75440000,197424,92,0,820000.0,3,"=""5/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-arabkirum--wesf
16/10/2025,16/11/2025,Երևան,Էրեբունի,35919280,94000,60,0,598654.0,3,"=""6/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-erebuni-masivum--wesg
30/06/2025,16/11/2025,Երևան,Նոր Նորք,21207660,55500,37,0,573180.0,1,"=""4/5""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-1-in-masivum--ql4q
13/09/2025,16/11/2025,Երևան,Արաբկիր,պայմանական,negotiable,37,0,,2,"=""3/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-arabkirum--wg9e
24/09/2025,16/11/2025,Երևան,Արաբկիր,35537160,93000,56,0,634592.0,2,"=""3/4""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-arabkirum--w64e
27/10/2025,16/11/2025,Երևան,Կենտրոն,68781600,180000,74,0,929481.0,3,"=""4/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-kentronum--w9k8
11/10/2025,16/11/2025,Երևան,Շենգավիթ,27512640,72000,64,0,429885.0,3,"=""4/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-shengavitum--wefy
11/11/2025,16/11/2025,Երևան,Արաբկիր,33244440,87000,45,0,738765.0,1,"=""3/5""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-arabkirum--w1y0
13/03/2023,16/11/2025,Երևան,Շենգավիթ,95530000,250000,130,0,734846.0,5,"=""3/4""",Բնակարան,https://www.senyak.am/5-senyakanoc-bnakarani-vacharq-3-rd-masum--ycn
05/10/2025,16/11/2025,Երևան,Նոր Նորք,24837800,65000,51,0,487015.0,2,"=""1/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-nor-norqum--w6km
29/09/2025,16/11/2025,Երևան,Արաբկիր,43943800,115000,75,0,585917.0,3,"=""7/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-arabkirum--w6cs
16/04/2025,16/11/2025,Երևան,Մալաթիա Սեբաստիա,26748400,70000,53,0,504686.0,1,"=""9/9""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-vanadzorum--qa2l
16/10/2025,16/11/2025,Երևան,Արաբկիր,72250000,189076,85,0,850000.0,3,"=""4/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-arabkirum--wesh
16/10/2025,16/11/2025,Երևան,Արաբկիր,39000000,102062,45,0,866666.0,2,"=""4/9""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-arabkirum--wesz
15/02/2025,16/11/2025,Երևան,Արաբկիր,47765000,125000,60,0,796083.0,2,"=""2/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-arabkirum--q33b
04/11/2025,16/11/2025,Երևան,Արաբկիր,պայմանական,negotiable,65,0,,2,"=""12/19""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-komitasum--wdjh
31/07/2025,16/11/2025,Երևան,Մալաթիա Սեբաստիա,32480200,85000,77,0,421820.0,3,"=""1/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-malatia-sebastiayum--w41t
16/06/2025,16/11/2025,Երևան,Քանաքեռ Զեյթուն,30951720,81000,81,0,382120.0,3,"=""1/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-zeytunum--q2w6
30/10/2025,16/11/2025,Երևան,Աջափնյակ,28659000,75000,50,0,573180.0,2,"=""9/14""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-ajapnyakum--wdwk
31/10/2025,16/11/2025,Երևան,Դավթաշեն,40122600,105000,50,0,802452.0,2,"=""5/9""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-davtashenum--wd9i
10/07/2025,16/11/2025,Երևան,Կենտրոն,28659000,75000,57,0,502789.0,2,"=""4/4""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-kentronum--qlbm
16/10/2025,16/11/2025,Երևան,Արաբկիր,72200000,188945,85,0,849411.0,3,"=""4/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-arabkirum--wesu
16/10/2025,16/11/2025,Երևան,Արաբկիր,136000000,355909,160,0,850000.0,3,"=""6/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-arabkirum--wesj
16/10/2025,16/11/2025,Երևան,Արաբկիր,72250000,189076,85,0,850000.0,3,"=""6/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-arabkirum--wesc
14/10/2024,16/11/2025,Երևան,Նոր Նորք,37447760,98000,64,0,585121.0,3,"=""10/12""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-1-in-masivum--qi21
03/11/2025,16/11/2025,Երևան,Արաբկիր,32862320,86000,47,0,699198.0,1,"=""9/12""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-arabkirum--wdzy
04/11/2025,16/11/2025,Երևան,Արաբկիր,պայմանական,negotiable,70,0,,3,"=""13/20""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-komitasum--wdj9
14/10/2025,16/11/2025,Երևան,Նոր Նորք,32480200,85000,65,0,499695.0,2,"=""5/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-5-rd-masivum--webe
15/10/2025,16/11/2025,Երևան,Արաբկիր,43943800,115000,47,0,934974.0,2,"=""1/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-komitasum--wery
13/05/2025,16/11/2025,Երևան,Կենտրոն,46618640,122000,51,0,914090.0,3,"=""15/16""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-kentronum--qki7
22/09/2025,16/11/2025,Երևան,Արաբկիր,31715960,83000,47,0,674807.0,1,"=""3/5""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-komitasum--wgs5
10/02/2025,16/11/2025,Երևան,Նոր Նորք,20252360,53000,33,0,613707.0,1,"=""4/4""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-1-in-masivum--q3dg
04/11/2025,16/11/2025,Երևան,Արաբկիր,պայմանական,negotiable,35,0,,1,"=""5/5""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-komitasum--wdjx
03/11/2025,16/11/2025,Երևան,Նոր Նորք,24264620,63500,50,0,485292.0,1,"=""1/9""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-7-rd-masivum--wdop
16/06/2025,16/11/2025,Երևան,Նոր Նորք,24837800,65000,51,0,487015.0,2,"=""3/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-4-rd-masivum--q2qo
02/11/2025,16/11/2025,Երևան,Ավան,31907020,83500,67,0,476224.0,2,"=""8/9""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-avanum--wdc9
13/09/2025,15/11/2025,Երևան,Կենտրոն,պայմանական,negotiable,80,0,,3,"=""8/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-kentronum--wg90
22/04/2024,16/11/2025,Երևան,Քանաքեռ Զեյթուն,45854400,120000,94,0,487812.0,3,"=""1/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-monumentum--275
25/12/2024,16/11/2025,Երևան,Նոր Նորք,27512640,72000,63,0,436708.0,3,"=""1/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-8-rd-masivum--qmad
23/05/2023,16/11/2025,Երևան,Կենտրոն,82155800,215000,72,0,1141052.0,3,"=""9/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-kentronum--ou3
04/10/2025,15/11/2025,Երևան,Կենտրոն,267484000,700000,219,0,1221388.0,4,"=""9/16""",Բնակարան,https://www.senyak.am/4-senyakanoc-norakaruyc-bnakarani-vacharq-kentronum--w6sf
13/09/2025,15/11/2025,Երևան,Կենտրոն,պայմանական,negotiable,86,0,,2,"=""6/9""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-kentronum--wg9j
24/10/2024,16/11/2025,Երևան,Կենտրոն,42033200,110000,42,0,1000790.0,2,"=""7/11""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-kentronum--q824
01/02/2025,15/11/2025,Երևան,Կենտրոն,143295000,375000,120,0,1194125.0,3,"=""5/14""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-kentronum--qbo2
20/03/2024,15/11/2025,Երևան,Արաբկիր,47765000,125000,101,0,472920.0,4,"=""5/5""",Բնակարան,https://www.senyak.am/4-senyakanoc-bnakarani-vacharq-arabkirum--nve
27/08/2024,16/11/2025,Երևան,Աջափնյակ,43943800,115000,100,0,439438.0,4,"=""1/5""",Բնակարան,https://www.senyak.am/4-senyakanoc-bnakarani-vacharq-ajapnyakum--qd8z
21/08/2024,16/11/2025,Երևան,Աջափնյակ,29423240,77000,76,0,387147.0,3,"=""1/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-ajapnyakum--q9ks
24/07/2024,16/11/2025,Երևան,Աջափնյակ,42033200,110000,98,0,428910.0,4,"=""1/5""",Բնակարան,https://www.senyak.am/4-senyakanoc-bnakarani-vacharq-ajapnyakum--q6ks
04/05/2024,16/11/2025,Երևան,Նոր Նորք,34390800,90000,81,0,424577.0,3,"=""4/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-nor-norqum--lpo
17/10/2025,15/11/2025,Երևան,Արաբկիր,59228600,155000,100,0,592286.0,3,"=""4/16""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-arabkirum--wenh
17/03/2025,15/11/2025,Երևան,Արաբկիր,55407400,145000,78,0,710351.0,3,"=""2/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-arabkirum--qrca
03/05/2025,16/11/2025,Երևան,Աջափնյակ,28659000,75000,67,0,427746.0,2,"=""12/16""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-ajapnyakum--qvb1
13/09/2025,16/11/2025,Երևան,Աջափնյակ,43943800,115000,121,0,363171.0,4,"=""4/14""",Բնակարան,https://www.senyak.am/4-senyakanoc-bnakarani-vacharq-ajapnyakum--wgez
17/04/2025,16/11/2025,Երևան,Աջափնյակ,42033200,110000,76,0,553068.0,3,"=""4/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-ajapnyakum--qs60
17/10/2025,16/11/2025,Երևան,Աջափնյակ,32098080,84000,67,0,479075.0,2,"=""4/9""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-ajapnyakum--we79
09/10/2025,15/11/2025,Երևան,Կենտրոն,38976240,102000,45,0,866138.0,1,"=""3/4""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-kentronum--wexi
27/08/2024,16/11/2025,Երևան,Աջափնյակ,26748400,70000,90,0,297204.0,3,"=""1/16""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-ajapnyakum--qd8h
21/02/2025,15/11/2025,Երևան,Արաբկիր,պայմանական,negotiable,63,0,,2,"=""2/7""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-arabkirum--q5x3
15/11/2025,,Երևան,Նոր Նորք,34390800,90000,78,0,440907.0,3,"=""9/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-nor-norqum--w1p9
15/10/2025,15/11/2025,Երևան,Արաբկիր,59228600,155000,96,0,616964.0,4,"=""2/5""",Բնակարան,https://www.senyak.am/4-senyakanoc-bnakarani-vacharq-arabkirum--wero
02/04/2025,15/11/2025,Երևան,Մալաթիա Սեբաստիա,36301400,95000,68,0,533844.0,2,"=""6/9""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-bangladeshum--qppt
15/10/2024,15/11/2025,Երևան,Մալաթիա Սեբաստիա,72602800,190000,100,0,726028.0,3,"=""11/17""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-kentronum--q8qx
22/03/2025,15/11/2025,Երևան,Մալաթիա Սեբաստիա,պայմանական,negotiable,48,0,,2,"=""15/15""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-leningradyanum--qrni
11/11/2025,15/11/2025,Երևան,Աջափնյակ,35155040,92000,67,0,524702.0,2,"=""4/9""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-shinararnerum--w1fp
04/08/2025,15/11/2025,Երևան,Դավթաշեն,110814800,290000,152,0,729044.0,5,"=""2/12""",Բնակարան,https://www.senyak.am/5-senyakanoc-norakaruyc-bnakarani-vacharq-davtashenum--w4bm
25/09/2025,15/11/2025,Երևան,Շենգավիթ,21398720,56000,31,0,690281.0,2,"=""6/7""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-shengavitum--w64t
25/01/2025,15/11/2025,Երևան,Կենտրոն,պայմանական,negotiable,73,0,,2,"=""11/11""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-rasiayum--qunb
17/03/2025,15/11/2025,Երևան,Արաբկիր,պայմանական,negotiable,37,0,,2,"=""3/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-komitasum--qrfi
26/02/2025,15/11/2025,Երևան,Կենտրոն,պայմանական,negotiable,93,0,,3,"=""3/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-kentronum--q50v
23/09/2025,15/11/2025,Երևան,Արաբկիր,133742000,350000,112,0,1194125.0,3,"=""12/19""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-arabkirum--wg7t
15/11/2025,,Երևան,Արաբկիր,51586200,135000,73,0,706660.0,3,"=""5/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-arabkirum--w1pc
11/11/2025,15/11/2025,Երևան,Կենտրոն,56553760,148000,47,0,1203271.0,2,"=""2/11""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-kentronum--w1fk
15/10/2025,15/11/2025,Երևան,Արաբկիր,59228600,155000,96,0,616964.0,4,"=""2/5""",Բնակարան,https://www.senyak.am/4-senyakanoc-bnakarani-vacharq-arabkirum--we0l
13/02/2025,15/11/2025,Երևան,Արաբկիր,85977000,225000,112,0,767651.0,3,"=""8/20""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-komitasum--q3oi
15/11/2025,,Երևան,Կենտրոն,72984920,191000,70,0,1042641.0,2,"=""3/3""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-kentronum--w10c
21/08/2024,16/11/2025,Երևան,Աջափնյակ,25602040,67000,51,0,502000.0,1,"=""3/16""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-ajapnyakum--q9kk
04/06/2024,15/11/2025,Երևան,Դավթաշեն,63049800,165000,120,0,525415.0,4,"=""9/11""",Բնակարան,https://www.senyak.am/4-senyakanoc-norakaruyc-bnakarani-vacharq-davtashenum--q4nv
06/11/2025,15/11/2025,Երևան,Կենտրոն,85977000,225000,64,0,1343390.0,2,"=""4/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-kentronum--wd2e
22/09/2025,15/11/2025,Երևան,Քանաքեռ Զեյթուն,34390800,90000,75,0,458544.0,3,"=""2/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-qanaqerum--wgsy
22/09/2025,15/11/2025,Երևան,Կենտրոն,68781600,180000,40,0,1719540.0,2,"=""5/14""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-kentronum--wgv8
03/05/2025,16/11/2025,Երևան,Քանաքեռ Զեյթուն,36301400,95000,122,0,297552.0,3,"=""5/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-zeytunum--qvur
04/10/2025,16/11/2025,Երևան,Կենտրոն,102790280,269000,92,0,1117285.0,3,"=""4/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-kentronum--w6sy
20/09/2025,15/11/2025,Երևան,Մալաթիա Սեբաստիա,38976240,102000,83,0,469593.0,4,"=""11/14""",Բնակարան,https://www.senyak.am/4-senyakanoc-bnakarani-vacharq-bangladeshum--wgrn
17/03/2025,15/11/2025,Երևան,Արաբկիր,պայմանական,negotiable,35,0,,1,"=""2/5""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-komitasum--qrfx
15/11/2025,,Երևան,Ավան,30569600,80000,58,0,527062.0,2,"=""16/18""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-avanum--w1ph
15/11/2025,,Երևան,Շենգավիթ,89416080,234000,83,0,1077302.0,3,"=""15/20""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-hayreniqum--w1rv
05/06/2025,15/11/2025,Երևան,Մալաթիա Սեբաստիա,50821960,133000,90,0,564688.0,4,"=""5/9""",Բնակարան,https://www.senyak.am/4-senyakanoc-bnakarani-vacharq-bangladeshum--q79z
20/09/2025,15/11/2025,Երևան,Քանաքեռ Զեյթուն,36301400,95000,63,0,576212.0,3,"=""3/16""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-zeytunum--wgrp
01/11/2024,15/11/2025,Երևան,Նոր Նորք,33244440,87000,79,0,420815.0,3,"=""2/4""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-1-in-masivum--qf7d
14/11/2024,15/11/2025,Երևան,Նոր Նորք,31715960,83000,53,0,598414.0,2,"=""2/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-2-rd-masivum--qcue
15/11/2025,,Երևան,Շենգավիթ,32480200,85000,63,0,515558.0,3,"=""2/4""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-3-rd-masum--w102
22/09/2025,15/11/2025,Երևան,Կենտրոն,89798200,235000,62,0,1448358.0,2,"=""8/22""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-kentronum--wgve
12/08/2025,15/11/2025,Երևան,Քանաքեռ Զեյթուն,28467940,74500,48,0,593082.0,2,"=""4/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-zeytunum--wqxv
13/10/2025,15/11/2025,Երևան,Քանաքեռ Զեյթուն,31715960,83000,39,0,813229.0,1,"=""3/5""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-raykomum--wejv
15/11/2025,,Երևան,Նոր Նորք,32480200,85000,67,0,484779.0,3,"=""5/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-2-rd-masivum--w1po
18/11/2024,15/11/2025,Երևան,Մալաթիա Սեբաստիա,31333840,82000,76,0,412287.0,3,"=""4/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-bangladeshum--qh6q
13/09/2025,15/11/2025,Երևան,Նոր Նորք,35155040,92000,64,0,549297.0,2,"=""7/12""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-1-in-masivum--wgeb
15/11/2025,,Երևան,Քանաքեռ Զեյթուն,25602040,67000,48,0,533375.0,2,"=""5/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-zeytunum--w1r4
27/12/2024,15/11/2025,Երևան,Կենտրոն,85977000,225000,83,0,1035867.0,3,"=""8/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-kentronum--qmtd
22/10/2025,16/11/2025,Երևան,Նոր Նորք,47765000,125000,88,0,542784.0,3,"=""10/12""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-1-in-masivum--w9cc
24/01/2025,15/11/2025,Երևան,Մալաթիա Սեբաստիա,47000760,123000,60,0,783346.0,2,"=""5/17""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-malatia-sebastiayum--qua0
24/01/2025,15/11/2025,Երևան,Մալաթիա Սեբաստիա,պայմանական,negotiable,123,0,,4,"=""13/17""",Բնակարան,https://www.senyak.am/4-senyakanoc-norakaruyc-bnakarani-vacharq-malatia-sebastiayum--qups
15/11/2025,,Երևան,Կենտրոն,95530000,250000,64,0,1492656.0,2,"=""3/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-kentronum--w1rk
15/11/2025,,Երևան,Արաբկիր,59228600,155000,92,0,643789.0,3,"=""2/8""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-arabkirum--w15l
15/11/2025,,Երևան,Արաբկիր,29232180,76500,33,0,885823.0,1,"=""5/5""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-arabkirum--w1pg
24/02/2025,15/11/2025,Երևան,Կենտրոն,45854400,120000,64,0,716475.0,3,"=""5/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-kentronum--q5hp
21/10/2025,15/11/2025,Երևան,Արաբկիր,42797440,112000,59,0,725380.0,2,"=""4/16""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-arabkirum--w9e9
15/11/2025,,Երևան,Մալաթիա Սեբաստիա,71838560,188000,99,0,725642.0,3,"=""5/17""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-malatia-sebastiayum--w1r5
